"Sector ID","Full sector name","Sector cluster name (April 2023 onwards)","Sector cluster name (before April 2023)","name","Sub sector name","Sub sub sector name","Start date","End date"
"SL0110","Creative industries : Design : Interior design","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Design","Interior design","",""
"SL0111","Creative industries : Digital services","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Digital services","","01/04/2021",""
"SL0112","Creative industries : Equipment","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Equipment","","",""
"SL0114","Creative industries : Equipment : Photo and cinema","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Equipment","Photo and cinema","",""
"SL0115","Creative industries : Experience economy","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Experience economy","","",""
"SL0117","Creative industries : Experience economy : Attractions","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Experience economy","Attractions","",""
"SL0119","Creative industries : Film and TV","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Film and TV","","",""
"SL0122","Creative industries : Film and TV : Production and finance","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Film and TV","Production and finance","",""
"SL0123","Creative industries : Film and TV : Sales and distribution","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Film and TV","Sales and distribution","",""
"SL0124","Creative industries : Games","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Games","","",""
"SL0125","Creative industries : Games : Development","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Games","Development","",""
"SL0126","Creative industries : Games : Esports","Services and Skills","Creative, Lifestyle and Learning","Creative industries","Games","Esports","",""
