country,sector,service,type,source
New Zealand,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Ecuador,Financial Services (including Professional Services) : Insurance,export_wins,exported,export_wins
Spain,Energy,export_wins,exported,export_wins
Czechia,Retail,export_wins,exported,export_wins
Philippines,Retail,export_wins,exported,export_wins
Sweden,Creative and Media,export_wins,exported,export_wins
Kazakhstan,Oil and Gas,export_wins,exported,export_wins
Canada,"Textiles, Interior Textiles and Carpets",export_wins,exported,export_wins
Netherlands,Renewable Energy : Wind : Renewable energy: Wind: Offshore,export_wins,exported,export_wins
India,Chemicals,export_wins,exported,export_wins
Australia,"Creative and Media : Art, Design and Creativity",export_wins,exported,export_wins
Germany,Advanced Engineering,export_wins,exported,export_wins
Indonesia,Electronics and IT Hardware,export_wins,exported,export_wins
China,Food and Drink,export_wins,exported,export_wins
Germany,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
Qatar,Marine,export_wins,exported,export_wins
China,Construction,export_wins,exported,export_wins
France,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
Iraq,Energy,export_wins,exported,export_wins
Georgia,Energy,export_wins,exported,export_wins
Germany,ICT,export_wins,exported,export_wins
United Arab Emirates,Power : Nuclear,export_wins,exported,export_wins
Australia,Software and Computer Services Business to Business (B2B),export_wins,exported,export_wins
Netherlands,Renewable Energy,export_wins,exported,export_wins
South Korea,Food and Drink,export_wins,exported,export_wins
Turkey,Advanced Engineering,export_wins,exported,export_wins
Saudi Arabia,Education and Training,export_wins,exported,export_wins
Qatar,Global Sports Projects : Major Events,export_wins,exported,export_wins
Saudi Arabia,Environment : Waste Management,export_wins,exported,export_wins
Morocco,Biotechnology and Pharmaceuticals,export_wins,exported,export_wins
Ireland,Food and Drink,export_wins,exported,export_wins
United Arab Emirates,Defence and Security,export_wins,exported,export_wins
Brazil,Electronics and IT Hardware : Electronics and IT Technologies : Broadcasting,export_wins,exported,export_wins
Austria,Financial Services (including Professional Services) : Professional Services : Legal Services,export_wins,exported,export_wins
United Arab Emirates,Software and Computer Services Business to Business (B2B) : Support Services,export_wins,exported,export_wins
Turkey,Healthcare and Medical : Healthcare Services,export_wins,exported,export_wins
Portugal,Education and Training,export_wins,exported,export_wins
